cp,municipio,provincia,ccaa
01001,Vitoria-Gasteiz,Araba/Álava,País Vasco
01002,Vitoria-Gasteiz,Araba/Álava,País Vasco
01003,Vitoria-Gasteiz,Araba/Álava,País Vasco
01004,Vitoria-Gasteiz,Araba/Álava,País Vasco
01005,Vitoria-Gasteiz,Araba/Álava,País Vasco
01006,Vitoria-Gasteiz,Araba/Álava,País Vasco
01007,Vitoria-Gasteiz,Araba/Álava,País Vasco
01008,Vitoria-Gasteiz,Araba/Álava,País Vasco
01009,Vitoria-Gasteiz,Araba/Álava,País Vasco
01010,Vitoria-Gasteiz,Araba/Álava,País Vasco
01012,Vitoria-Gasteiz,Araba/Álava,País Vasco
01013,Vitoria-Gasteiz,Araba/Álava,País Vasco
01015,Vitoria-Gasteiz,Araba/Álava,País Vasco
01100,Vitoria-Gasteiz,Araba/Álava,País Vasco
01110,Campezo/Kanpezu,Araba/Álava,País Vasco
01117,Campezo/Kanpezu,Araba/Álava,País Vasco
01117,Harana/Valle de Arana,Araba/Álava,País Vasco
01118,Bernedo,Araba/Álava,País Vasco
01118,Lagrán,Araba/Álava,País Vasco
01118,Condado de Treviño,Burgos,Castilla y León
01120,Arraia-Maeztu,Araba/Álava,País Vasco
01128,Bernedo,Araba/Álava,País Vasco
01128,Campezo/Kanpezu,Araba/Álava,País Vasco
01128,Arraia-Maeztu,Araba/Álava,País Vasco
01129,Arraia-Maeztu,Araba/Álava,País Vasco
01130,Zuia,Araba/Álava,País Vasco
01138,Zigoitia,Araba/Álava,País Vasco
01139,Zuia,Araba/Álava,País Vasco
01160,Aramaio,Araba/Álava,País Vasco
01165,Aramaio,Araba/Álava,País Vasco
01169,Aramaio,Araba/Álava,País Vasco
01170,Legutio,Araba/Álava,País Vasco
01191,Vitoria-Gasteiz,Araba/Álava,País Vasco
01191,Iruña Oka/Iruña de Oca,Araba/Álava,País Vasco
01192,Elburgo/Burgelu,Araba/Álava,País Vasco
01192,Vitoria-Gasteiz,Araba/Álava,País Vasco
01193,Alegría-Dulantzi,Araba/Álava,País Vasco
01193,Elburgo/Burgelu,Araba/Álava,País Vasco
01193,Iruraiz-Gauna,Araba/Álava,País Vasco
01193,Vitoria-Gasteiz,Araba/Álava,País Vasco
01194,Bernedo,Araba/Álava,País Vasco
01194,Vitoria-Gasteiz,Araba/Álava,País Vasco
01195,Vitoria-Gasteiz,Araba/Álava,País Vasco
01195,Iruña Oka/Iruña de Oca,Araba/Álava,País Vasco
01196,Zigoitia,Araba/Álava,País Vasco
01196,Vitoria-Gasteiz,Araba/Álava,País Vasco
01200,Agurain/Salvatierra,Araba/Álava,País Vasco
01206,Barrundia,Araba/Álava,País Vasco
01206,Iruraiz-Gauna,Araba/Álava,País Vasco
01207,Iruraiz-Gauna,Araba/Álava,País Vasco
01207,Agurain/Salvatierra,Araba/Álava,País Vasco
01207,San Millán/Donemiliaga,Araba/Álava,País Vasco
01208,Asparrena,Araba/Álava,País Vasco
01208,Barrundia,Araba/Álava,País Vasco
01208,San Millán/Donemiliaga,Araba/Álava,País Vasco
01208,Zalduondo,Araba/Álava,País Vasco
01211,Armiñón,Araba/Álava,País Vasco
01211,Berantevilla,Araba/Álava,País Vasco
01211,Lagrán,Araba/Álava,País Vasco
01211,Peñacerrada-Urizaharra,Araba/Álava,País Vasco
01211,Condado de Treviño,Burgos,Castilla y León
01212,Berantevilla,Araba/Álava,País Vasco
01212,Labastida/Bastida,Araba/Álava,País Vasco
01212,Peñacerrada-Urizaharra,Araba/Álava,País Vasco
01212,Zambrana,Araba/Álava,País Vasco
01213,Erriberagoitia/Ribera Alta,Araba/Álava,País Vasco
01213,Ribera Baja/Erriberabeitia,Araba/Álava,País Vasco
01213,Lantarón,Araba/Álava,País Vasco
01216,Bernedo,Araba/Álava,País Vasco
01216,Peñacerrada-Urizaharra,Araba/Álava,País Vasco
01220,Armiñón,Araba/Álava,País Vasco
01220,Berantevilla,Araba/Álava,País Vasco
01220,Erriberagoitia/Ribera Alta,Araba/Álava,País Vasco
01220,Ribera Baja/Erriberabeitia,Araba/Álava,País Vasco
01230,Iruña Oka/Iruña de Oca,Araba/Álava,País Vasco
01240,Alegría-Dulantzi,Araba/Álava,País Vasco
01250,Asparrena,Araba/Álava,País Vasco
01260,Asparrena,Araba/Álava,País Vasco
01300,Laguardia,Araba/Álava,País Vasco
01306,Lapuebla de Labarca,Araba/Álava,País Vasco
01307,Baños de Ebro/Mañueta,Araba/Álava,País Vasco
01307,Samaniego,Araba/Álava,País Vasco
01307,Villabuena de Álava/Eskuernaga,Araba/Álava,País Vasco
01308,Kripan,Araba/Álava,País Vasco
01308,Laguardia,Araba/Álava,País Vasco
01308,Lanciego/Lantziego,Araba/Álava,País Vasco
01309,Elvillar/Bilar,Araba/Álava,País Vasco
01309,Laguardia,Araba/Álava,País Vasco
01309,Leza,Araba/Álava,País Vasco
01309,Navaridas,Araba/Álava,País Vasco
01320,Oyón-Oion,Araba/Álava,País Vasco
01321,Laguardia,Araba/Álava,País Vasco
01322,Moreda de Álava/Moreda Araba,Araba/Álava,País Vasco
01322,Oyón-Oion,Araba/Álava,País Vasco
01322,Yécora/Iekora,Araba/Álava,País Vasco
01330,Labastida/Bastida,Araba/Álava,País Vasco
01340,Elciego,Araba/Álava,País Vasco
01400,Laudio/Llodio,Araba/Álava,País Vasco
01408,Ayala/Aiara,Araba/Álava,País Vasco
01409,Okondo,Araba/Álava,País Vasco
01420,Erriberagoitia/Ribera Alta,Araba/Álava,País Vasco
01423,Erriberagoitia/Ribera Alta,Araba/Álava,País Vasco
01423,Añana,Araba/Álava,País Vasco
01423,Valdegovía/Gaubea,Araba/Álava,País Vasco
01423,Lantarón,Araba/Álava,País Vasco
01426,Erriberagoitia/Ribera Alta,Araba/Álava,País Vasco
01426,Añana,Araba/Álava,País Vasco
01426,Valdegovía/Gaubea,Araba/Álava,País Vasco
01427,Valdegovía/Gaubea,Araba/Álava,País Vasco
01427,Berberana,Burgos,Castilla y León
01427,Jurisdicción de San Zadornil,Burgos,Castilla y León
01428,Erriberagoitia/Ribera Alta,Araba/Álava,País Vasco
01428,Valdegovía/Gaubea,Araba/Álava,País Vasco
01428,Iruña Oka/Iruña de Oca,Araba/Álava,País Vasco
01430,Kuartango,Araba/Álava,País Vasco
01439,Kuartango,Araba/Álava,País Vasco
01440,Urkabustaiz,Araba/Álava,País Vasco
01449,Urkabustaiz,Araba/Álava,País Vasco
01450,Amurrio,Araba/Álava,País Vasco
01450,Urkabustaiz,Araba/Álava,País Vasco
01450,Zuia,Araba/Álava,País Vasco
01468,Amurrio,Araba/Álava,País Vasco
01470,Amurrio,Araba/Álava,País Vasco
01470,Ayala/Aiara,Araba/Álava,País Vasco
01474,Artziniega,Araba/Álava,País Vasco
01476,Ayala/Aiara,Araba/Álava,País Vasco
01477,Ayala/Aiara,Araba/Álava,País Vasco
01478,Artziniega,Araba/Álava,País Vasco
01478,Ayala/Aiara,Araba/Álava,País Vasco
01479,Ayala/Aiara,Araba/Álava,País Vasco
01510,Arratzua-Ubarrundia,Araba/Álava,País Vasco
01510,Legutio,Araba/Álava,País Vasco
01510,Vitoria-Gasteiz,Araba/Álava,País Vasco
01520,Arratzua-Ubarrundia,Araba/Álava,País Vasco
01520,Vitoria-Gasteiz,Araba/Álava,País Vasco
02001,Albacete,Albacete,Castilla-La Mancha
02002,Albacete,Albacete,Castilla-La Mancha
02003,Albacete,Albacete,Castilla-La Mancha
02004,Albacete,Albacete,Castilla-La Mancha
02005,Albacete,Albacete,Castilla-La Mancha
02006,Albacete,Albacete,Castilla-La Mancha
02007,Albacete,Albacete,Castilla-La Mancha
02008,Albacete,Albacete,Castilla-La Mancha
02049,Albacete,Albacete,Castilla-La Mancha
02100,Tarazona de la Mancha,Albacete,Castilla-La Mancha
02110,La Gineta,Albacete,Castilla-La Mancha
02120,Peñas de San Pedro,Albacete,Castilla-La Mancha
02124,Alcadozo,Albacete,Castilla-La Mancha
02124,Ayna,Albacete,Castilla-La Mancha
02124,Liétor,Albacete,Castilla-La Mancha
02125,Ayna,Albacete,Castilla-La Mancha
02127,Casas de Lázaro,Albacete,Castilla-La Mancha
02127,Peñascosa,Albacete,Castilla-La Mancha
02127,Peñas de San Pedro,Albacete,Castilla-La Mancha
02129,Alcadozo,Albacete,Castilla-La Mancha
02129,Peñas de San Pedro,Albacete,Castilla-La Mancha
02129,Pozohondo,Albacete,Castilla-La Mancha
02130,Bogarra,Albacete,Castilla-La Mancha
02136,Paterna del Madera,Albacete,Castilla-La Mancha
02137,Paterna del Madera,Albacete,Castilla-La Mancha
02137,Peñascosa,Albacete,Castilla-La Mancha
02139,Ayna,Albacete,Castilla-La Mancha
02139,Bogarra,Albacete,Castilla-La Mancha
02140,Albacete,Albacete,Castilla-La Mancha
02141,Pozohondo,Albacete,Castilla-La Mancha
02142,Hellín,Albacete,Castilla-La Mancha
02142,Liétor,Albacete,Castilla-La Mancha
02142,Pozohondo,Albacete,Castilla-La Mancha
02150,Valdeganga,Albacete,Castilla-La Mancha
02151,Casas de Juan Núñez,Albacete,Castilla-La Mancha
02152,Alatoz,Albacete,Castilla-La Mancha
02153,Carcelén,Albacete,Castilla-La Mancha
02154,Pozo-Lorente,Albacete,Castilla-La Mancha
02154,Villavaliente,Albacete,Castilla-La Mancha
02155,Albacete,Albacete,Castilla-La Mancha
02156,Chinchilla de Monte-Aragón,Albacete,Castilla-La Mancha
02160,Lezuza,Albacete,Castilla-La Mancha
02161,Lezuza,Albacete,Castilla-La Mancha
02162,La Herrera,Albacete,Castilla-La Mancha
02200,Casas-Ibáñez,Albacete,Castilla-La Mancha
02210,Alcalá del Júcar,Albacete,Castilla-La Mancha
02211,Alcalá del Júcar,Albacete,Castilla-La Mancha
02212,Casas de Ves,Albacete,Castilla-La Mancha
02213,Balsa de Ves,Albacete,Castilla-La Mancha
02213,Villa de Ves,Albacete,Castilla-La Mancha
02214,Alcalá del Júcar,Albacete,Castilla-La Mancha
02214,Balsa de Ves,Albacete,Castilla-La Mancha
02214,Villa de Ves,Albacete,Castilla-La Mancha
02215,Alborea,Albacete,Castilla-La Mancha
02215,Villatoya,Albacete,Castilla-La Mancha
02220,Albacete,Albacete,Castilla-La Mancha
02220,Motilleja,Albacete,Castilla-La Mancha
02230,Madrigueras,Albacete,Castilla-La Mancha
02240,Mahora,Albacete,Castilla-La Mancha
02246,Navas de Jorquera,Albacete,Castilla-La Mancha
02247,Cenizate,Albacete,Castilla-La Mancha
02248,Jorquera,Albacete,Castilla-La Mancha
